YEAR,QUARTER,DRGDP2,DRGDP3,DRGDP4,DRGDP5,DRGDP6
1968,4,2.04,2.19,2.67,3.93,4.24
1969,1,1.90,2.50,3.21,3.95,#N/A
1969,2,3.17,2.36,2.42,2.77,#N/A
1969,3,1.30,1.65,1.34,2.40,#N/A
1969,4,0.16,-0.04,0.32,2.54,3.59
1970,1,-0.45,0.51,2.15,3.58,#N/A
1970,2,-0.18,1.59,2.50,3.17,3.42
1970,3,2.45,2.36,3.45,3.26,3.72
1970,4,-1.02,5.31,3.79,2.82,3.68
1971,1,6.43,4.37,2.02,4.76,4.90
1971,2,4.66,2.44,5.18,5.34,5.43
1971,3,5.81,5.69,6.12,5.87,5.49
1971,4,4.57,5.78,5.55,5.56,5.75
1972,1,5.91,6.31,5.96,5.61,4.77
1972,2,6.97,6.45,5.63,5.16,5.00
1972,3,6.08,5.89,5.49,5.27,3.98
1972,4,6.72,5.97,5.71,4.48,4.11
1973,1,5.33,5.73,4.21,3.79,3.52
1973,2,5.15,3.87,3.35,3.52,2.78
1973,3,2.38,1.36,1.57,1.90,3.15
1973,4,1.64,-0.50,0.02,1.52,2.42
1974,1,-2.26,-0.26,2.01,3.84,3.49
1974,2,-0.42,1.62,3.17,3.41,4.32
1974,3,-0.06,1.27,2.24,2.43,#N/A
1974,4,-4.22,-2.07,0.85,3.06,4.82
1975,1,-6.10,-1.93,3.00,5.00,4.54
1975,2,-1.22,3.07,5.39,4.86,5.82
1975,3,5.21,6.02,5.64,5.55,5.82
1975,4,5.23,5.08,5.31,4.36,4.68
1976,1,5.47,4.94,4.99,4.92,5.00
1976,2,5.00,5.29,5.20,4.64,3.81
1976,3,5.05,5.67,5.30,4.72,4.24
1976,4,5.24,5.02,4.95,4.98,4.59
1977,1,3.20,6.10,5.71,4.79,4.24
1977,2,5.62,6.01,4.64,4.59,3.97
1977,3,4.53,5.18,4.03,3.75,3.46
1977,4,4.56,4.30,4.06,4.06,3.46
1978,1,4.04,4.03,3.85,2.86,4.15
1978,2,6.69,3.91,3.27,2.21,2.00
1978,3,3.02,1.82,0.64,0.94,2.01
1978,4,3.11,1.99,1.15,0.95,0.88
1979,1,1.91,1.39,-0.48,0.18,1.36
1979,2,1.56,-0.60,-0.35,1.16,0.73
1979,3,-1.86,-2.60,-1.53,1.59,3.51
1979,4,-1.84,-2.23,-2.67,0.39,4.16
1980,1,-0.57,-1.93,-1.99,1.04,2.82
1980,2,-3.81,-3.75,-0.48,1.57,2.54
1980,3,-3.60,-1.15,2.56,2.69,4.87
1980,4,1.61,1.06,2.67,3.90,3.82
1981,1,1.13,0.74,3.36,3.38,4.31
1981,2,0.66,1.90,2.95,3.54,3.31
1981,3,-0.07,2.16,2.72,4.08,3.82
1981,4,-3.78,-0.81,2.69,5.24,4.15
1982,1,-3.36,2.56,4.78,4.66,3.89
1982,2,-0.24,3.05,3.75,2.43,3.24
1982,3,1.37,2.47,3.91,2.24,3.19
1982,4,1.17,3.25,2.46,3.85,3.90
1983,1,3.77,2.45,4.93,4.31,3.68
1983,2,4.84,5.10,4.59,4.21,4.54
1983,3,6.33,4.52,3.55,3.83,3.92
1983,4,5.28,4.23,4.31,4.09,3.88
1984,1,5.47,4.19,4.12,3.70,3.01
1984,2,3.91,3.76,3.43,3.06,3.06
1984,3,4.84,4.29,3.31,2.83,1.53
1984,4,2.75,2.19,3.85,3.17,3.01
1985,1,4.05,4.78,3.24,3.44,3.02
1985,2,3.34,4.09,3.62,2.74,2.86
1985,3,3.15,3.36,2.74,2.61,2.21
1985,4,2.64,2.62,2.67,2.84,2.94
1986,1,3.38,2.94,3.09,2.95,1.99
1986,2,2.31,3.47,3.52,2.99,2.50
1986,3,2.49,2.97,2.85,3.11,3.22
1986,4,2.73,2.18,2.65,3.03,3.14
1987,1,3.00,2.52,2.63,2.90,2.06
1987,2,1.78,3.05,2.95,2.46,2.43
1987,3,2.46,3.17,3.09,2.45,2.45
1987,4,2.19,1.93,1.37,2.82,1.69
1988,1,0.33,1.12,2.36,2.57,2.30
1988,2,2.14,2.32,2.21,2.32,2.10
1988,3,3.00,2.82,2.74,2.47,2.77
1988,4,2.46,3.64,2.59,2.24,1.89
1989,1,3.90,2.02,1.97,1.42,1.24
1989,2,2.04,1.88,1.63,2.06,1.30
1989,3,1.73,1.79,2.02,2.20,2.44
1989,4,1.27,1.52,1.79,2.22,2.78
1990,1,1.61,1.99,2.09,2.47,2.37
1990,2,2.31,2.30,1.69,2.39,2.33
1990,3,1.12,0.74,1.64,1.74,2.35
1990,4,-1.28,-0.99,0.08,1.75,2.34
1991,1,-1.93,0.07,1.88,2.69,2.94
1991,2,-0.08,2.06,2.75,2.90,2.80
1991,3,2.56,2.80,2.93,3.04,2.84
1991,4,1.55,2.24,2.81,3.14,2.54
1992,1,0.72,2.34,3.00,3.13,3.08
1992,2,2.99,3.16,3.14,3.02,3.11
1992,3,2.20,2.45,2.56,3.16,3.04
1992,4,1.98,2.56,2.82,3.18,3.41
1993,1,3.10,3.04,3.17,3.23,2.75
1993,2,2.55,3.40,3.33,2.95,2.99
1993,3,3.06,2.97,2.64,2.59,2.80
1993,4,3.39,2.84,2.72,3.00,2.91
1994,1,3.27,3.08,2.75,3.29,2.54
1994,2,3.90,3.26,3.03,2.50,2.61
1994,3,2.52,2.73,2.41,2.53,2.74
1994,4,3.28,2.96,2.71,2.64,2.70
1995,1,3.11,2.76,2.39,2.34,2.37
1995,2,1.77,2.28,2.74,2.69,2.34
1995,3,2.14,3.00,2.81,2.67,2.56
1995,4,2.45,2.70,2.56,2.52,2.43
1996,1,1.42,2.18,2.42,2.45,2.47
1996,2,2.92,2.23,1.96,2.13,2.01
1996,3,2.59,2.41,2.15,1.83,1.87
1996,4,2.16,2.38,2.07,1.95,2.11
1997,1,2.31,2.35,2.17,2.33,2.03
1997,2,2.38,2.58,2.53,2.09,1.92
1997,3,2.73,2.78,2.46,2.34,2.03
1997,4,2.81,2.43,2.48,2.30,2.14
1998,1,2.49,2.19,2.19,2.45,2.66
1998,2,2.59,2.44,2.42,2.41,2.41
1998,3,2.21,3.02,2.19,2.39,2.69
1998,4,2.40,1.84,1.83,2.09,2.29
1999,1,2.95,2.52,2.31,2.66,1.78
1999,2,3.19,2.78,3.00,1.71,2.57
1999,3,3.33,3.24,1.96,2.66,2.71
1999,4,3.85,2.15,3.20,3.18,3.09
2000,1,3.00,3.20,3.08,2.96,2.80
2000,2,4.19,3.66,3.41,3.11,3.15
2000,3,3.25,3.39,3.07,2.94,3.21
2000,4,3.22,3.18,3.04,3.21,3.51
2001,1,0.80,1.97,3.26,3.59,3.61
2001,2,1.16,2.06,2.85,3.23,3.34
2001,3,1.42,2.54,2.91,3.01,3.04
2001,4,-1.99,0.20,2.39,3.68,3.71
2002,1,1.36,2.55,3.17,3.52,3.51
2002,2,2.54,3.16,3.22,3.45,3.44
2002,3,2.40,2.79,3.41,3.38,3.73
2002,4,1.53,2.55,3.19,3.37,3.72
2003,1,2.10,2.67,3.35,3.62,3.92
2003,2,1.65,3.28,3.28,4.00,3.47
2003,3,3.74,3.69,3.82,3.66,3.73
2003,4,3.98,4.02,4.01,4.01,3.78
2004,1,4.42,4.28,4.06,4.17,3.53
2004,2,4.42,4.17,3.98,3.70,3.67
2004,3,3.43,3.91,3.79,3.48,3.52
2004,4,3.67,3.54,3.36,3.54,3.58
2005,1,3.76,3.67,3.59,3.58,3.44
2005,2,2.98,3.42,3.42,3.23,3.32
2005,3,4.15,3.45,3.29,3.23,3.16
2005,4,3.20,3.48,3.32,3.19,3.16
2006,1,4.11,3.40,3.11,3.01,3.01
2006,2,3.28,3.07,2.95,2.87,2.96
2006,3,2.81,2.79,2.73,2.70,2.84
2006,4,2.50,2.67,2.71,2.77,2.80
2007,1,2.55,2.64,2.91,3.03,3.03
2007,2,2.41,2.49,2.86,3.06,2.84
2007,3,2.60,2.60,2.59,2.72,2.65
2007,4,1.78,2.00,2.36,2.60,2.76
2008,1,0.66,1.28,2.50,2.65,3.24
2008,2,0.08,2.17,1.45,2.01,2.64
2008,3,1.34,0.67,1.33,2.07,2.45
2008,4,-2.63,-1.12,0.57,1.64,2.16
2009,1,-4.91,-1.52,0.67,1.88,2.40
2009,2,-1.31,0.56,1.66,2.05,2.72
2009,3,2.31,2.31,2.47,2.77,2.81
2009,4,2.59,2.59,2.83,2.85,2.97
2010,1,2.63,2.89,2.93,3.10,2.69
2010,2,3.33,3.10,3.10,2.97,3.01
2010,3,2.41,2.74,2.75,3.02,2.96
2010,4,2.23,2.46,2.76,3.03,3.20
2011,1,3.54,3.47,3.40,3.46,3.05
2011,2,3.24,3.36,3.33,2.99,3.12
2011,3,2.54,2.38,2.26,2.52,2.76
2011,4,2.50,2.34,2.40,2.56,2.70
2012,1,2.24,2.41,2.61,2.77,2.69
2012,2,2.39,2.55,2.73,2.47,2.66
2012,3,1.74,2.31,1.69,1.75,2.34
2012,4,1.84,1.64,2.15,2.67,2.87
2013,1,2.28,2.26,2.62,2.59,2.97
2013,2,1.81,2.36,2.78,2.88,2.99
2013,3,2.35,2.57,2.60,2.80,2.90
2013,4,1.84,2.53,2.74,2.82,2.91
2014,1,2.04,2.70,2.90,3.01,3.13
2014,2,3.23,2.99,3.02,3.05,2.95
2014,3,2.96,3.05,3.04,3.02,2.95
2014,4,2.74,2.73,2.93,3.00,3.05
2015,1,2.70,2.86,2.99,2.86,2.80
2015,2,2.51,3.07,2.91,2.59,2.82
2015,3,2.83,2.83,2.76,2.79,2.82
2015,4,2.71,2.56,2.69,2.73,2.67
2016,1,2.03,2.41,2.54,2.54,2.28
2016,2,2.16,2.35,2.50,2.20,2.42
2016,3,2.80,2.36,2.12,2.27,2.27
2016,4,2.19,2.21,2.40,2.30,2.24
2017,1,2.32,2.32,2.40,2.35,2.51
2017,2,3.13,2.59,2.44,2.34,2.67
2017,3,2.72,2.39,2.28,2.43,2.51
2017,4,2.67,2.36,2.51,2.39,2.32
2018,1,3.06,2.83,2.71,2.54,2.56
2018,2,3.17,2.94,2.70,2.58,2.58
2018,3,3.03,2.83,2.50,2.54,2.46
2018,4,2.61,2.43,2.57,2.38,2.24
2019,1,1.57,2.52,2.30,2.22,1.98
2019,2,1.87,2.19,2.13,2.01,2.03
2019,3,1.83,1.99,1.97,2.00,1.84
2019,4,1.71,1.87,1.96,1.76,1.79
2020,1,1.68,2.12,2.10,2.12,1.99
2020,2,-31.76,9.84,6.32,5.26,4.61
2020,3,19.29,5.50,4.63,3.69,3.53
2020,4,4.54,3.41,3.45,3.23,3.32
2021,1,2.96,5.74,5.58,4.45,3.35
2021,2,8.03,6.76,4.95,3.68,3.44
2021,3,6.79,5.23,4.08,3.63,3.15
2021,4,4.83,4.08,3.78,3.48,2.95
2022,1,1.71,4.06,3.32,3.04,2.86
2022,2,2.17,2.75,2.49,2.25,2.27
2022,3,1.27,1.49,1.23,1.41,1.54
2022,4,1.02,0.61,0.45,0.47,1.77
2023,1,0.55,0.46,0.53,1.27,1.66
2023,2,0.84,0.27,0.64,1.42,1.78
2023,3,1.79,1.08,0.76,1.38,1.76
2023,4,1.11,1.08,1.21,1.82,1.94
2024,1,2.09,1.57,1.61,1.83,1.99
2024,2,2.01,1.94,1.81,1.98,2.01
2024,3,1.87,1.74,1.81,1.94,2.25
2024,4,1.90,2.06,1.91,2.36,2.17
2025,1,2.60,2.03,2.22,2.21,2.30
2025,2,1.36,1.19,1.30,1.70,1.92
2025,3,1.42,1.26,1.55,1.76,1.88
